"Period","PeriodEN"
"弥生時代後期","Late Yayoi"
"古墳時代","Kofun  "
"弥生時代","Yayoi"
"弥生時代中期中葉","Middle Yayoi [Middle]"
"弥生時代中期初頭","Middle Yayoi [Initial]"
"要確認",NA
"弥生時代Ⅱ末〜Ⅲ初","Yayoi I [Final] o III [Initial]"
"縄文時代晩期～弥生時代前期","Final Jomon - Early Yayoi "
"縄文時代中期","Middle Jomon"
"弥生時代中期","Middle Yayoi"
"弥生時代前期","Early Yayoi"
"縄文時代晩期","Final Jomon "
NA,NA
"縄文時代早期","Initial Jomon "
"縄文時代後期","Late Jomon "
"古墳時代中期","Middle Kofun  "
"弥生時代前期〜中期","Early Yayoi - Middle Yayoi"
"古墳時代中期～後期","Middle Kofun - Late Kofun "
"縄文時代前期","Early Jomon"
"縄文時代","Jomon"
"不明","NA  "
"続縄文時代","Epi-Jomon"
"縄文時代前期～中期","Early Jomon - Middle Jomon"
"古墳時代前期","Early Kofun"
"古代","Classical"
"旧石器時代","Palaeolithic"
"弥生時代前期前葉～中頃","Early Yayoi [Early - Middle ca.] "
"弥生時代早期後半","Initial Yayoi [Second Half] "
"弥生時代前期末","Early Yayoi [Final]"
"弥生時代前期末～中期初","Early Yayoi [Final] - Middle Yayoi [Initial]"
"縄文時代草創期","Incipient Jomon "
"現代","Present"
"弥生時代早期","Initial Yayoi "
"弥生時代前期～中期","Early Yayoi - Middle Yayoi"
"縄文時代晩期末","Final Jomon [Final]"
"縄文時代晩期～弥生時代早期","Final Jomon - Initial Yayoi "
"平安時代～鎌倉時代","Heian - Kamakura"
"縄文時代後期末","Late Jomon [Final]"
"縄文時代後期後半","Late Jomon [Second Half]"
"弥生時代中期後半〜後期","Middle Yayoi [Second Half] to Late Yayoi"
"弥生時代中期後半","Middle Yayoi [Second Half]"
"弥生時代前期初頭","Early Yayoi [Initial]"
"弥生時代前期中頃","Early Yayoi [ca. Middle]"
"弥生時代前期後半","Early Yayoi [Second Half]"
"弥生時代前期後半～末","Early Yayoi [Second Half - Final] "
"弥生時代前期中ごろ","Early Yayoi [ca. Middle]"
"弥生時代早期前半","Initial Yayoi [First Half]"
"オホーツク文化期","Okhotsk Culture Period "
"近世アイヌ","Early Modern Ainu"
"縄文時代後期中頃","Late Jomon [Middle ca.]"
"縄文時代後期前葉","Late Jomon [Early]"
"擦文時代晩期","Final Satsumon "
"擦文時代早期","Initial Satsumon "
"擦文時代中期","Middle Satsumon "
"擦文時代前期～中期","Early Satsumon - Middle Satsumon "
"縄文時代晩期～続縄文時代","Final Jomon - Epi-Jomon"
"擦文時代前期","Early Satsumon "
"弥生時代前半","Yayoi [First Half]"
"中世","Medieval"
"最終氷期","Last Glacial Period"
"後期更新世","Late Pleistocene"
"弥生時代終末","Yayoi [Final]"
"弥生時代終末以前か？","Before Yayoi [Final]?"
"弥生時代終末〜古墳時代","Yayoi [Final] - Kofun"
"弥生時代中期前葉","Middle Yayoi [Early]"
"弥生時代早期？","Initial Yayoi?"
"弥生時代後期～古墳時代","Late Yayoi - Kofun"
"縄文時代晩期前半","Final Jomon [First Half] "
"弥生時代中期～後期","Middle Yayoi to Late Yayoi"
"弥生時代中期？","Middle Yayoi? 
"
"縄文時代晩期中葉","Final Jomon [Middle] "
"縄文時代晩期〜弥生時代","Final Jomon - Yayoi"
"縄文時代早期初頭","Initial Jomon [Initial]"
"弥生時代後期終末","Late Yayoi [Final] "
"弥生時代中期末","Middle Yayoi [Final]"
"弥生時代中期～後期初頭","Middle Yayoi to Late Yayoi [Initial]"
"弥生時代中期〜後期","Middle Yayoi - Late Yayoi"
"弥生時代中期後半〜末","Middle Yayoi [Second Half - Final]"
"古墳時代初頭","Kofun [Initial]"
"弥生時代前期中頃～後半","Early Yayoi [ca. Middle - Second Half] "
"弥生時代後期前葉","Late Yayoi [Early]"
"弥生時代後期初頭","Late Yayoi [Initial]"
"弥生時代後期～古墳時代前期","Late Yayoi - Early Kofun"
"弥生時代後期～古墳時代相当","Late Yayoi - Kofun equivalent"
"弥生時代中期～後期相当期","Middle Yayoi - Late Yayoi equivalent"
"貝塚時代後期","Kaizuka [Late]"
"縄文時代晩期?","Final Jomon? "
"弥生時代後期?","Late Yayoi?"
"弥生時代中期～後期前葉","Middle Yayoi to Late Yayoi [Early]"
"弥生時代〜古墳時代","Yayoi - Kofun"
"奈良時代〜平安時代","Nara - Heian"
"縄文時代後期～晩期","Late Jomon - Final Jomon"
"縄文時代前期初頭","Early Jomon [Initial]"
"弥生時代Ⅰ期中段階","Yahoi I [Middle]"
"縄文時代前期～中期？","Early Jomon - Middle Jomon?"
"縄文時代後期？","Late Jomon?"
"縄文時代後期末～晩期初","Late Jomon [Final] - Final Jomon [Initial]"
"平安時代","Heian"
"縄文時代中期？","Middle Jomon?"
"弥生時代後期？","Late Yayoi?"
"擦文時代後期","Late Satsumon "
"続縄文時代？","Epi-Jomon?"
"縄文時代早期?","Initial Jomon?"
"古墳時代前期前葉","Early Kofun [Early]"
"後期旧石器時代前半","Late Palaeolithic [First Half]"
"縄文時代晩期後葉","Final Jomon [Late] "
"縄文時代後期前葉〜晩期前葉","Late Jomon [Early] - Final Jomon [Early]"
"縄文時代前期中葉から中期前半","Early Jomon [Middle] - Middle Jomon [First Half]"
"後期旧石器時代","Late Palaeolithic"
"弥生時代後期中葉","Late Yayoi [Middle]"
"古墳時代後期","Late Kofun"
"古墳時代前期以前","Before Early Kofun"
"弥生時代後期後半","Late Yaoyi [Second Half]"
"古墳時代中期中葉","Middle Kofun [Middle]"
"古墳時代後期前葉","Late Kofun [Early]"
"古墳時代前期中葉","Early Kofun [Middle]"
"古墳時代中期前葉","Middle Kofun [Early]"
"縄文時代後期〜晩期","Late Jomon - Final Jomon"
"縄文時代前期末葉","Early Jomon [Final]"
"縄文時代中期後葉","Middle Jomon [Late]"
"縄文時代後期初頭","Late Jomon [Initial]"
"古墳時代or中世","Kofun or Medieval"
"中世〜近世","Medieval - Early Modern"
"奈良・平安時代","Nara/Heian"
"縄文時代晩期前半頃","Final Jomon [First Half ca.] "
"近世","Early Modern "
"Ag-KP降下以前","Below Ag-KP Tephra"
"古墳時代末から奈良時代頃","Kofun [Final] - Nara [ca.]"
"縄文時代早期末","Initial Jomon [Final]"
"縄文時代草創期および前期前半","Incipient Jomon and Early Jomon [First Half] "
"As-B降下以前","Before As-B Tephra "
"縄文時代中期〜後期","Middle Jomon - Late Jomon"
"歴史時代","Rekishi"
"中世初期","Medieval [Initial]"
"奈良時代","Nara"
"古墳時代以降","After Kofun"
"As-BP上位","Above As-BP Tephra"
"縄文時代早期以前","Before Initial Jomon "
"縄文時代前期後半","Early Jomon [Second Half]"
"弥生時代終末期","Yayoi [Final]"
"縄文時代前期前半","Early Jomon [First Half]"
"奈良･平安時代","Nara/Heian"
"弥生時代採集末","Yayoi [Final of Gathering] "
"弥生時代後期前半","Late Yayoi [First Half]"
"縄文後、晩期以降〜弥生中期","After Final Jomon - Middle Yayoi "
"As-Kn(約5400年前)上位","Above As-Kn Tephra (approx. 5,400 years ago)"
"As-YP下位","Below As-YP Tephra "
"室町時代初め〜戦国時代","Muromachi [Initial] - Sengoku"
"天明3年埋没","Tenmei 3 buried"
"縄文中期〜後期主体","Middle Jomon - Mainly Late Jomon"
"縄文時代草創期あるいは早期","Incipient Jomon or Initial Jomon"
"飛鳥時代","Asuka"
"縄文時代もしくは10世紀以降","Jomon or after 10th century"
"近世以降","After Early Modern "
"As-BPGroup同位","Same level as As-BP Tephra Group "
"縄文時代前期前葉","Early Jomon [Early]"
"縄文時代前期後葉","Early Jomon [Late] "
"縄文時代中期後半","Middle Jomon [Second Half]"
"中･近世","Medieval/Early Modern "
"平安時代以降","After Heian"
"縄文時代前〜中期","Early Jomon - Middle Jomon"
"中世以降","After Medieval "
"古墳時代前期まで","Up to Early Kofun"
"縄文時代草創期後半","Incipient Jomon [Second Half]"
"縄文時代草創期終末","Incipient Jomon [Final]"
"古墳時代?","Kofun?"
"古墳時代〜中世","Kofun - Medieval"
"古墳時代後期〜奈良時代","Late Kofun - Nara"
"縄文時代前期中葉","Early Jomon [Middle]"
"18世紀後半〜19世紀前半","Late 18th Century - Early 19th Century"
"縄文時代後期から晩期","Late Jomon - Final Jomon"
"縄文時代後期前半","Late Jomon [First Half]"
"古墳時代前期末","Early Kofun [Final]"
"弥生時代後期後葉","Late Yayoi [Late]"
"縄文時代中期後半前葉","Middle Jomon [Early of Second Half]"
"古墳時代中〜後期","Middle Kofun - Late Kofun "
"縄文時代中期　",NA
"弥生時代後期から古墳時代前期","Late Yayoi - Early Kofun"
"縄文時代前期　",NA
"縄文時代晩期前葉","Final Jomon [Early]"
"鎌倉時代","Kamakura"
"縄文時代(中期?)","Jomon [Middle Jomon?]"
"弥生時代末葉頃","Yayoi [ca. Final] "
"弥生時代後期後半〜末葉","Late Yayoi [Second Half - Final]"
"縄文時代後期初頭〜前葉","Late Jomon [Initial - Early]"
"古代〜中近世","Classical - Medieval/Early Modern"
"弥生時代後期末〜古墳時代前期","Late Yayoi [Final] - Early Kofun"
"縄文時代中期末葉〜後期初頭","Middle Jomon [Final] - Late Jomon [Initial]"
"縄文時代中期中葉〜後葉","Middle Jomon [Middle - Late]"
"縄文時代中期中葉","Middle Jomon [Middle]"
"弥生時代後期末","Late Yayoi [Final]"
"弥生時代後期末から古墳時代初頭","Late Yayoi [Final] - Kofun [Initial]"
"縄文時代前期関山式期","Early Jomon [Sekiyama-shiki period]"
"古墳時代〜奈良･平安時代","Kofun - Nara/Heian"
"古墳時代前期から奈良･平安時代","Early Kofun - Nara/Heian"
"江戸時代後期〜明治期","Late Edo - Meiji "
"近代","Modern "
"縄文時代早期中葉〜後葉前半","Initial Jomon [Middle] - Late Jomon [First Half]"
"縄文時代早期後葉","Initial Jomon [Late]"
"縄文時代前期前半〜中葉","Early Jomon [First Half - Middle]"
"平安時代を含む","Including Heian"
"古墳時代前期〜平安時代","Early Kofun - Heian"
"縄文時代後期後葉","Late Jomon [Late]"
"縄文時代後期中葉","Late Jomon [Middle]"
"平安時代後半","Heian [Second Half]"
"古墳時代前半","Kofun [First Half]"
"古墳時代から古代","Kofun - Classical "
"縄文時代後期後葉から晩期初頭","Late Jomon [Late?]"
"弥生時代末以降古墳時代後期までの間","Yayoi [Final] - Late Kofun"
"縄文時代中期初頭","Middle Jomon [Initial]"
"縄文時代後期末葉","Late Jomon [Final]"
"縄文中期後葉","Middle Jomon [Late]"
"古墳時代中期〜後期","Middle Kofun - Late Kofun "
"縄文時代早期後半から前期中葉","Initial Jomon [Second Half] - Early Jomon [Middle]"
"縄文時代前期初頭〜中葉","Early Jomon [Initial - Middle]"
"古墳時代以前","Before Kofun"
"奈良時代以降","After Nara"
"土師時代","Haji"
"土師時代前期","Haji [Early]"
"縄文時代前期後葉〜中期初頭","Early Jomon [Late] - Middle Jomon [Initial]"
"縄文時代後期〜晩期前葉","Late Jomon - Final Jomon [Early]"
"縄文時代中期末〜晩期初頭","Middle Jomon [Final] - Final Jomon [Initial]"
"古墳時代後期か縄文時代後期","Late Kofun or Late Jomon"
"古墳時代前期初頭","Early Kofun [Initial]"
"弥生時代中期後葉末","Middle Yayoi [Final of Late] "
"縄文時代前期前半〜後期中葉","Early Jomon [First Half] - Late Jomon [Middle]"
"江戸時代以前","Before Edo"
"縄文時代堀之内期","Jomon [Horinouchi period]"
"旧石器時代〜縄文時代草創期","Palaeolithic - Incipient Jomon"
"縄文時代早期後半","Initial Jomon [Second Half]"
"縄文時代中期中頃から後期前半","Middle Jomon [Middle ca.] - Late Jomon [First Half]"
"縄文時代中期初頭〜中期中葉","Middle Jomon [Initial - Middle]"
"縄文時代中期初頭〜中期後葉","Middle Jomon [Initial - Late]"
"縄文時代中期前葉〜中期後葉","Middle Jomon [Early - Late]"
"弥生時代後期〜古墳時代","Late Yayoi - Kofun"
"縄文時代前期〜中期?","Early Jomon - Middle Jomon?"
"縄文時代後期?","Late Jomon?"
"縄文時代後期〜晩期?","Late Jomon - Final Jomon?"
"縄文時代後期晩期","Late Jomon [Final]"
"古墳時代後期〜平安時代","Late Kofun - Heian"
"古代?","Classical?"
"縄文時代晩期〜古墳時代後期","Final Jomon - Late Kofun"
"古墳時代後期〜近世","Late Kofun - Early Modern"
"奈良時代･平安時代","Nara/Heian"
"古代〜近世","Classical - Early Modern"
"中世末","Medieval [Final] "
"平安時代末","Heian [Final]"
"弥生時代末","Yayoi [Final]"
"弥生時代中期後半〜後期前半","Middle Yayoi [Second Half] to Late Yayoi [First Half]"
"縄文時代後期後葉〜晩期前葉","Late Jomon [Late] - Final Jomon [Early]"
"縄文時代後期前葉〜中葉","Late Jomon [Early - Middle]"
"弥生時代中期前半〜後期前半","Middle Yayoi [First Half] to Late Yayoi [First Half]"
"縄文時代晩期後葉〜弥生時代中期前半","Final Jomon [Late] - Middle Yayoi [First Half]"
"近世〜近現代","Early Modern - Modern/Present"
"古代末期〜中世","Classical [Final] - Medieval "
"縄文時代晩期〜古墳時代前期","Final Jomon - Early Kofun"
"古墳時代〜古代","Kofun - Classical"
"縄文時代早期後半頃","Initial Jomon [Second Half ca.]"
"弥生時代末期〜古墳時代初頭","Yayoi [Final] - Kofun [Initial]"
"縄文時代中期および後期","Middle Jomon or Late Jomon"
"中近世","Medieval/Early Modern "
"弥生時代以降","After Yayoi"
"弥生時代後期終末〜古墳時代前半","Late Yayoi [Final] - Kofun [First Half]"
"古墳〜奈良･平安時代","Kofun - Nara/Heian"
"縄文時代以降","After Jomon"
"近世?","Early Modern? "
"江戸時代","Edo "
"縄文時代中期頃?","Middle Jomon [ca.]?"
"縄文時代早期頃","Initial Jomon [ca.]"
"縄文時代草創期後葉?","Incipient Jomon [Late]?"
"縄文時代中期前半","Middle Jomon [First Half]"
"縄文時代晩期〜弥生時代初頭","Final Jomon - Initial Yayoi"
"縄文時代後期初頭から中葉","Late Jomon [Initial - Middle]"
"中世末〜江戸初期","Medieval [Final] - Edo [Initial]"
"富士黒土層(10,000年前以降)","Fuji Kurotsuchi Layer (After 10,000 years ago) "
"古墳時代後期以降","After Late Kofun"
"弥生時代後期〜古墳時代前期","Late Yaoyi - Early Kofun"
"弥生時代末から古墳時代初頭頃","Yayoi [Final] - Kofun [Initial ca.]"
"縄文時代晩期初頭","Final Jomon [Initial]"
"弥生時代中期後葉","Middle Yayoi [Late]"
"縄文時代前期末葉?","Early Jomon [Final]?"
"縄文時代〜古墳時代前期","Jomon - Early Kofun"
"縄文時代中期以降","Before Middle Jomon"
"弥生時代末〜古墳時代前期","Yayoi [Final] - Early Kofun"
"縄文時代後期以降","After Late Jomon"
"縄文時代前期〜中期","Early Jomon - Middle Jomon"
"近世or近代","Early Modern or Modern"
"縄文時代早期〜前期","Initial Jomon - Early Jomon"
"縄文時代中〜晩期","Middle Jomon - Jomon [Final]"
"近世･近代","Early Modern/Modern"
"縄文時代中期末葉","Middle Jomon [Final]"
"近世以前","Before Early Modern "
"縄文時代中期末","Middle Jomon [Final]"
"縄文時代晩期終末","Final Jomon [Final]"
"室町時代?","Muromachi?"
"弥生時代以前","Before Yayoi"
"縄文時代早期前半","Initial Jomon [First Half]"
"平安時代末〜沖積","Heian [Final] (Alluvial)"
"古墳時代後期頃","Late Kofun [ca.]"
"弥生時代中期後半〜後期初頭","Middle Yayoi [Second Half] to Late Yayoi [Initial]"
"縄文時代前期以前","Before Early Jomon  "
"AT以降","Above AT Tephra"
"古墳〜平安","Kofun - Heian"
"縄文時代草創期〜早期?","Incipient Jomon - Initial Jomon?"
"弥生時代後期〜古墳時代初頭","Late Yayoi - Kofun [Initial]"
"弥生時代〜古墳時代前期","Yayoi - Early Kofun"
"縄文時代早期以降","After Initial Jomon "
"縄文時代初頭","Initial Jomon"
"奈良･平安時代〜中世","Nara/Heian - Medieval"
"後期旧石器時代後半〜縄文時代早期","Late Palaeolithic [Second Half] - Initial Jomon"
"後期旧石器時代後半","Late Palaeolithic [Second Half] "
"縄文時代早期〜後期","Initial Jomon - Late Jomon"
"縄文時代晩期終末〜弥生時代中期初頭","Final Jomon [Final] - Middle Yayoi [Initial]"
"弥生時代後期〜古墳時代前期頃","Late Yayoi - Early Kofun [ca.]"
"弥生時代後期頃","Late Yayoi [ca.]"
"縄文時代後期初頭の貝層にきられる","Cut by Late Jomon [Initial] shell deposit"
"縄文時代前期中頃","Early Jomon [Middle ca.]"
"古代以降","After Classical"
"古墳時代後半〜古代","Kofun [Second Half] - Classical"
"中世　天正期","Medieval (Tensho)"
"古墳時代後期〜奈良･平安時代","Late Kofun - Nara/Heian"
"AT下位","Below AT Tephra "
"弥生時代後半期","Yayoi [Second Half] "
"縄文時代中期初頭頃","Middle Jomon [Initial ca.]"
"縄文時代早期末葉","Initial Jomon [Final]"
"縄文時代中期末〜後期初頭","Middle Jomon [Final] - Late Jomon [Initial]"
"弥生時代終末〜古墳時代初頭","Yayoi [Final] - Kofun [Initial]"
"縄文時代晩期以前","Before Final Jomon"
"古墳時代前期〜中期","Early Kofun - Middle Kofun"
"弥生時代前期後葉","Early Yaoi [Late] "
"国分期","Kokubu "
"真間期","Mama "
"中世〜戦国時代","Medieval - Sengoku"
"縄文時代末期〜弥生時代初期","Final Jomon - Initial Yayoi"
"奈良時代後半","Nara [Second Half]"
"土師器出土","Haji pottery unearthed "
"縄文時代中期中葉〜後葉頃","Middle Jomon [Middle - Late ca.]"
"縄文時代後期後葉〜晩期初頭","Late Jomon [Late] - Final Jomon [Initial]"
"縄文時代前期中葉〜末葉","Early Jomon [Middle - Final]"
"縄文時代晩期中葉頃?","Final Jomon [Middle ca.] "
"近現代","Modern/Present"
"縄文時代前期後半〜中世まで存在","Early Jomon [Second Half] - Medieval"
"中世〜近世?","Medieval - Early Modern?"
"縄文時代中期後半〜末","Middle Jomon [Second Half - Final]"
"弥生時代中期頃","Middle Yayoi [ca.]"
"縄文時代晩期か平安時代","Final Jomon or Heian"
"不明(弥生後期?)","NA (after Late Yayoi?) "
"江戸時代後期","Late Edo"
"縄文時代後期前葉かそれ以降","Late Jomon [Early] or later "
"弥生時代前期かそれ以降","Early Yayoi or After"
"縄文時代早期中葉","Initial Jomon [Middle]"
"縄文時代後期末〜弥生時代","Late Jomon [Final] - Yayoi"
"縄文時代前期初頭?","Early Jomon [Initial]?"
"奈良時代後半〜平安時代初頭","Nara [Second Half] - Heian [Initial]"
"縄文時代後期頃","Late Jomon [ca.]"
"縄文時代中期後葉以降","After Middle Jomon [Late]"
"縄文時代中期後葉〜末葉","Middle Jomon [Late - Final]"
"To-a火山灰","To-a Tephra "
"縄文時代?","Jomon?"
"10世紀前半より前","Before Early 10th Century"
"10世紀前葉以前","Before Early 10th Century"
"9世紀後半","Late 9th Century"
"白頭山火山灰降下直前に廃絶","Immidiately before Paektu-Zan Tephra "
"10世紀初頭以前","Before Initial 10th Century "
"白頭山火山灰降下以前に廃絶","Before Paektu-Zan Tephra "
"縄文時代中期中葉〜後期前葉","Middle Jomon [Middle] - Late Jomon [Early]"
"縄文時代中期末葉〜後期","Middle Jomon [Final] - Late Jomon"
"縄文時代中期末葉以降","After Middle Jomon [Final]"
"縄文時代中期前葉〜中葉","Middle Jomon [Early - Middle]"
"縄文時代中期中葉〜末葉","Middle Jomon [Middle - Final]"
"To-a火山灰降下以前","Below To-a Tephra"
"縄文時代中期前葉","Middle Jomon [Early]"
"縄文時代中期初頭から中葉","Middle Jomon [Initial - Middle]"
"縄文時代前期中葉〜中期初頭","Early Jomon [Middle] - Middle Jomon [Initial]"
"縄文時代中期中葉以降?","After Middle Jomon [Middle]? "
"縄文時代中期中葉?","Middle Jomon [Middle]? "
"縄文時代中期中葉以前","Before Middle Jomon [Middle]"
"縄文時代前期末〜中期中葉","Early Jomon [Final] - Middle Jomon [Middle]"
"縄文時代前期末","Early Jomon [Final]"
"縄文時代前期末葉以前","Before Early Jomon [Final]"
"To-a火山灰(950年前後)に覆われる","Below To-a Tephra"
"中世頃","Medieval [ca.]"
"縄文時代前期末〜中期初頭","Early Jomon [Final] - Middle Jomon [Initial]"
"縄文時代前期末葉〜後期初頭","Early Jomon [Final] - Late Jomon [Initial]"
"縄文時代前期末葉〜中期初頭","Early Jomon [Final] - Middle Jomon [Initial]"
"縄文時代中期末葉〜後期前半より新しい","Newer than Middle Jomon [Final] -  Late Jomon [Early]"
"縄文時代中期末葉〜後期前葉以前","Before Middle Jomon [Final] - Late Jomon [Early] "
"中世(縄文時代晩期以降)","Medieval (after Final Jomon)"
"中世(14〜15世紀)","Medieval (14th to 15th Century)"
"続縄文","Epi-Jomon"
"新寛永以降","After Shinkanei"
"古寛永以降","After Kokanei"
"戦国時代","Sengoku   "
"平安時代〜中世","Heian - Medieval"
"縄文時代〜弥生時代","Jomon - Yayoi"
"縄文時代晩期後葉〜弥生時代前期","Final Jomon [Late] - Early Yayoi"
"縄文時代晩期中葉〜後葉","Final Jomon [Middle - Late] "
"縄文時代晩期前葉〜中葉","Final Jomon [Early - Middle]"
"縄文時代前期後葉以降","After Early Jomon [Late] "
"縄文時代前期後葉〜末葉","Early Jomon [Late - Final] "
"縄文時代中期後葉〜後期前葉","Middle Jomon [Late] - Late Jomon [Early]"
"縄文時代晩期後半","Final Jomon [Second Half] "
