"Period","PeriodEN"
"擦文時代中期から後期","Middle Satsumon - Late Satsumon"
"アイヌ文化期（中～近世）","Ainu Culture Period (Medieval - Early Modern)"
"アイヌ文化期（中世）","Ainu Culture Period (Medieval)"
"縄文時代晩期末もしくは続縄文初頭","Final Jomon [Final]  or Epi-Jomon [Initial]"
"縄文時代晩期～近世","Final Jomon - Modern"
"擦文時代後期初頭～前半","Late Satsumon [Initail - First Half]"
"続縄文時代後葉","Epi-Jomon [Late]"
"続縄文時代・擦文時代","Epi-Jomon/Satsumon"
"擦文時代・続縄文時代","Satsumon/Epi-Jomon"
"～続縄文時代"," - Epi-Jomon "
"擦文時代前期前半","Early Satsumon [First Half]"
"擦文時代前期後半～中期","Early Satsumon [Second Half] - Middle Satsuimon"
"縄文時代後期～続縄文時代後半期","Late Jomon - Epi-Jomon [Second Half]"
"続縄文時代後半期","Epi-Jomon [Second Half]"
"擦文時代後期初頭～中葉","Late Satsumon [Initial - Middle]"
"旧石器時代？","Palaeolithic?"
"縄文時代後期後葉～中葉","Late Jomon [Late] - Middle"
"縄文時代早期後半～前期前半","Initial Jomon [Second Half] - Early Jomon [First Half]"
"縄文時代後期初頭より古い","Before Late Jomon [Initial]"
"縄文時代後期中葉～後葉","Late Jomon [Middle - Late]"
"縄文時代後期中葉？","Late Jomon [Middle]?"
"近世アイヌ文化期（1739年以前）","Early Modern Ainu Culture Period (before 1739)"
"擦文時代中葉～近世アイヌ文化期","Middle Satsumon - Early Modern Ainu Culture Period"
"縄文時代後期中葉末～後期後葉","Late Jomon [Final of Middle - Late]"
"後期旧石器時代時代後半期","Late Palaeolithic [Second Half]"
"後期旧石器時代時代後半","Late Palaeolithic [Second Half]"
"縄文時代後期中葉から後葉","Late Jomon [Middle - Late]"
"擦文時代後期～終末期","Late Satsumon - Final Satsumon"
"アイヌ文化期（1739年以前）","Ainu Culture Period (Before 1739)"
"縄文時代中期後半～後期中葉","Middle Jomon [Second Half] - Late Jomon [Middle]"
"縄文時代早期～晩期後葉","Initial Jomon - Final Jomon [Late]"
"縄文時代早期後葉以前","Before Initial Jomon [Late]"
"近世？","Early Modern? "
"縄文時代前期前半あるいはそれ以前","Early Jomon [First Half] or before"
"擦文時代？","Satsumon?"
"縄文時代中期末～後期後半","Middle Jomon [Final] - Late Jomon [Second Half]"
"縄文時代または中世","Jomon or Medieval "
"中世アイヌ文化期（古段階）","Medieval Ainu Culture Period (Early stage)"
"中世段階のアイヌ文化期","Ainu Culture Period during Medieval stage "
"中世アイヌ期","Medieval Ainu Period"
"擦文時代後半期","Satsumon [Second Half]"
"縄文時代前期後半～中期前半","Early Jomon [Second Half] - Middle Jomon [First Half]"
"縄文時代前期～晩期？","Early Jomon - Final Jomon?"
"縄文時代中期・晩期","Middle Jomon/Final Jomon"
"縄文時代前期・中期","Early Jomon/Middle Jomon"
"縄文時代中期後半～後期初頭","Middle Jomon [Second Half] - Late Jomon [Initail]"
"縄文時代前期中～後半","Early Jomon [Middle - Second Half]"
"縄文時代中期末～後期前葉","Middle Jomon [Final] - Late Jomon [Early]"
"縄文時代前期初頭頃","Early Jomon [ca.Initial]"
"トビニタイ文化期～アイヌ文化期","Tobinitai Culture Period - Ainu Culture Period "
"縄文時代中期中頃","Middle Jomon [ca.Middle]"
"縄文時代中期中葉後半","Middke Jomon [Middle - Second Half]"
"縄文時代早期後半？","Initial Jomon [Second Half?]"
"縄文時代後期後葉～晩期中葉頃","Late Jomon [Late] - Final Jomon [ca.Middle]"
"縄文時代後期前葉後半","Late Jomon [Second Half of Early]"
"縄文時代後期前葉～後期中葉","Late Jomon [Early] - Late Jomon [Middle]"
"縄文時代後期初頭～続縄文時代","Late Jomon [Initial] - Epi-Jomon"
"縄文時代中期・後期・続縄文時代","Midele Jomon/Late Jomon/Epi-Jomon"
"続縄文時代後期末葉から擦文時代前期","Epi-Jomon [Final of Late] - Satsumon [Early]"
"縄文時代晩期後葉～近世アイヌ文化期","Final Jomon [Late] - Early Modern Ainu Culture Period"
"縄文時代晩期後葉～続縄文時代","Final Jomon [Late ] - Epi-Jomon"
"近世アイヌ期","Early Modern Ainu Period"
"縄文時代中期半ば","Middle Jomon [Middle]"
"縄文時代中期半ば～後期前葉","Middle Jomon [Middle] - Late Jomon [Early]"
"続縄文時代後葉後半","Epi-Jomon [Second Half of Late]"
"縄文時代中期半ばころ","Middle Jomon [Middle ca.]"
"縄文時代前期中葉以降","After Early Jomon [Middle]"
"擦文時代末葉","Final Satsumon "
"擦文時代前半","Satsumon [First Half]"
"中世～近世以降","After Medieval - Early Modern"
"縄文時代中期～後期前葉","Middle Jomon - Late Jomon [Early]"
"縄文時代後期中葉以降","after Late Jomon [Middle]"
"縄文時代中期前半？","Middle Jomon [First Half]?"
"縄文時代中期後半もしくは後期後葉（住居）","Middle Jomon [Second Half] or Late Jomon [Late] (residence)"
"不明（箱館戦争時の遺構の可能性あり）","NA (possibly remains of battle of Hakodate)"
"縄文時代前期以前、早期中葉の可能性","After Early Jomon, possibly Initial Jomon [Middle]"
"縄文時代前期後半から中期前半","Early Jomon [Second Half] - Middle Jomon [First Half]"
"縄文時代後期もしくは近代","Late Jomon or Modern"
"縄文時代中期・後期","Middle Jomon/Late Jomon"
"縄文時代早期後半もしくは前期前葉？","Initial Jomon [Second Half] or Early Jomon [Early]?"
"縄文時代前期前半もしくは後期前葉","Early Jomon [First Half] or Late Jomon [Early]"
"縄文時代中期末から後期前葉","Middle Jomon [Final] - Late Jomon [Early]"
"縄文時代早期中葉～後葉","Initial Jomon [Middle - Late]"
"縄文時代前半期・早期","Jomon [First Half]/Initial Jomon"
"縄文時代後期末～晩期初頭","Late Jomon [Final] - Final Jomon [Initial]"
"縄文時代中期中葉～後葉","Middle Jomon [Middle - Late]"
"縄文時代中期前葉～中葉","Middle Jomon [Early - Middle]"
"縄文時代中期前葉～後期前葉","Middle Jomon [Early] - Late Jomon [Early]"
"中世末～近世初頭段階のアイヌ文化期","Ainu Culture Period during Medieval [Final] - Early Modern [Initial]"
"中世の新しい段階に相当するアイヌ文化期","Ainu Culture Period parallel to new stage of Medieval "
"続縄文時代末葉","Epi-Jomon [Final]"
"擦文時代後期もしくはアイヌ文化期も混在する可能性","Late Satsumon or also mixed with Ainu Culture Period  "
"中世の新しい段階のアイヌ文化期","Ainu Culture Period parallel to new stage of Medieval "
"縄文時代晩期後葉～続縄文時代初頭","Final Jomon [Late ] - Epi-Jomon [Initial]"
"縄文時代前期末葉～中期初頭","Early Jomon [Final] - Middle Jomon [Initial]"
"縄文時代前期末葉～中期前葉","Early Jomon [Final] - Middle Jomon [Early]"
"縄文時代早期～晩期","Initial Jomon - Final Jomon"
"続縄文時代前半～後半","Epi-Jomon [First Half - Second Half]"
"縄文時代晩期後葉から続縄文時代前半","Final Jomon [Late] - Epi-Jomon [First Half]"
"擦文時代前期または後期","Early Satsumon or Late Satsumon"
"近世アイヌ文化期（樽前a降下火山灰より新しい）","Early Modern Ainu Culture Period (after Tarumae a Tephra)"
"続縄文前葉？","Epi-Jomon [Initial]?"
"続縄文前葉","Epi‐Jomon [Initial]"
"弥生時代後期〜古墳時代前期初頭","Late Yaoyi - Early Kofun [Initial]"
"弥生時代後期前半〜古墳時代前期初頭","Late Yayoi [First Half] - Early Kofun [Initial]"
"奈良時代〜江戸時代","Nara - Edo"
"弥生時代後期初頭〜古墳時代後期","Late Yayoi [Initial] - Late Kofun"
"鎌倉時代〜","Kamakura -"
"平安時代末〜江戸時代","Heian [Final] to Edo"
"安土桃山時代〜江戸時代","Azuchi-Momoyama - Edo"
"弥生時代後半以降","After Yayoi [Second Half]"
"平安時代末〜室町時代","Heian [Final]-Muromachi"
"縄文時代晩期終末〜弥生時代前期","Final Jomon [Final] - Early Yayoi"
"弥生時代〜江戸時代","Yayoi - Edo"
"奈良時代〜鎌倉時代後半","Nara - Kamakura [Second Half]"
"弥生時代後期〜中世","Late Yayoi - Medieval "
"縄文時代後期〜中世","Late Jomon - Medieval "
"弥生時代〜","Yayoi -"
"縄文時代晩期〜室町時代","Final Jomon - Muromachi"
"古代、中世前半","Classical/First Half of Medieval"
"縄文時代末期以降","After Final Jomon"
"弥生時代中期後半新段階","Middle Yayoi [Late stage of the second half] "
"弥生時代中期後半中段階","Middle Yayoi [Middle stage of Second Half]"
"弥生時代中期後半古段階〜中期後半新段階","Middle Yayoi [Early - Late stage of the second half] "
"弥生時代終末期古段階","Yayoi [Early stage of Final]"
"弥生時代後期前半新段階","Late Yayoi [New stage of First Half] "
"弥生時代後期後半古段階","Late Yayoi [Early stage of Second Half]"
"弥生時代中期後半古段階","Middle Yayoi [Early stage of the second half] "
"縄文時代早･前期","initial Jomon/Early Jomon"
"縄文時代前期･後期","Eearly Jomon/Late Jomon"
"弥生時代後期前半〜中頃","Late Yayoi [First Half - Middle]"
"弥生時代後期中葉〜後半","Late Yayoi [Middle - Second Half]"
"縄文時代晩期末〜弥生時代前期初頭","Final Jomon [Final] - Early Yayoi [Initial]"
"古墳時代･鎌倉時代","Kofun/Kamakura"
"弥生時代(前期Ⅰ)","Yayoi (Early I)"
"旧石器時代終末〜縄文時代草創期","Final Palaeolithic - Incipient Jomon"
"弥生時代前期〜古墳時代中期","Early Yayoi - Middle Kofun"
"弥生時代･古代〜中世","Yayoi/Classical - Medieval"
"古墳時代〜近世以降","After Kofun - Early Modern"
"縄文時代晩期中葉頃",NA
"弥生時代中期～後期頃",NA
"古代～中世",NA
"弥生後期末～古墳初頭",NA
"縄文時代晩期末から弥生時代前前半頃",NA
"縄文時代前期頃",NA
"縄文時代晩期末から弥生時代前期頃",NA
"近世後半～現代",NA
"縄文時代後期末から晩期前半",NA
"弥生時代後期末～古墳時代初頭",NA
"縄文時代早期末～前期初頭",NA
"縄文時代前期末～中期初頭",NA
"縄文時代晩期ないしそれ以前",NA
"古代末～中世初頭",NA
"平安～近世",NA
"古墳時代および長岡京時代",NA
"縄文時代晩期から弥生時代後期末",NA
"16世紀以降",NA
"縄文時代～古墳時代初期",NA
"長岡京時代以降",NA
"縄文時代前期中葉頃",NA
"～弥生時代",NA
"～弥生時代中期",NA
"長岡京時代",NA
"古墳時代初頭～前期",NA
"長岡京期",NA
"奈良時代～中世",NA
"縄文時代晩期～弥生時代",NA
"縄文時代・中世",NA
"弥生時代・古墳時代～古代",NA
"～縄文時代晩期",NA
"～中世",NA
"縄文時代～弥生時代",NA
"弥生時代前期後葉～中期後葉",NA
"～古代",NA
"～縄文時代",NA
"弥生時代～古墳時代",NA
"縄文時代晩期後葉？",NA
"～縄文時代後期",NA
"古墳時代前期後葉～中期",NA
"弥生時代～古代",NA
"弥生時代前期～前期末",NA
"弥生時代前期中",NA
"縄文時代晩期後半頃",NA
"縄文時代後期後～晩期中",NA
"縄文時代後期初",NA
"縄文時代晩期末～弥生時代前期",NA
"～縄文時代？",NA
"弥生時代中期～古墳時代前期",NA
"～縄文時代晩期末",NA
"～古墳時代？",NA
"～縄文時代後期後葉",NA
"奈良時代後半頃",NA
"縄文時代後期～弥生時代前期",NA
"弥生時代前期末～中期",NA
"～縄文時代晩期中葉",NA
"弥生時代後期末頃",NA
"弥生時代末～古墳時代初頭",NA
"弥生時代後期後葉～古墳時代初頭",NA
"奈良時代中期",NA
"～奈良時代",NA
"縄文時代中期末～弥生時代中期初頭",NA
"縄文時代中期後半～晩期後半（とくに晩期前半の出土量が多い）",NA
"縄文時代晩期～古墳時代前期",NA
"～縄文時代後期初頭",NA
"縄文時代早期以前？",NA
"奈良～平安時代",NA
"縄文時代晩期中葉～",NA
"中世以降？",NA
"古墳時代後期～古代",NA
"～縄文時代晩期後半",NA
"縄文時代中期前～中葉",NA
"縄文時代早期末～前期初頭頃",NA
"前期難波宮",NA
"～古墳時代",NA
"縄文時代後～晩期",NA
"縄文時代前～晩期",NA
"縄文時代晩期末～弥生時代後期",NA
"弥生時代後期～古墳時代中期",NA
"縄文時代早期前後",NA
"縄文時代晩期～古墳時代",NA
"縄文時代早期～",NA
"～古墳時代中期",NA
"弥生時代・古墳時代前期",NA
"後期旧石器時代～弥生時代前期",NA
"縄文時代草創期～早期",NA
"～弥生中期",NA
"縄文時代後期中頃～弥生時代前期",NA
"縄文時代晩期～弥生時代中期",NA
"弥生時代後期～古墳時代初頭頃",NA
"弥生時代前期～中期初頭",NA
"縄文時代晩期後半～弥生時代初頭",NA
"古墳時代前～中期",NA
"弥生時代中期～後期、古墳時代中期",NA
"弥生時代後期～",NA
"古墳時代～飛鳥時代",NA
"縄文時代後期後半～晩期前半",NA
"～古墳時代中期前半？",NA
"～弥生時代前期",NA
"古墳時代後期？",NA
"縄文時代～中世",NA
"弥生時代終末～古墳時代初期",NA
"古墳時代以後",NA
"弥生時代～中世",NA
"古墳時代前期～飛鳥時代初頭",NA
"弥生時代中期～",NA
"～弥生時代後期",NA
"弥生時代後期～古墳時代初頭",NA
"弥生時代末～古墳時代前期",NA
"弥生時代中期前半～古墳時代後期",NA
"弥生時代前期末～中期初頭",NA
"縄文時代後期～弥生時代",NA
"縄文時代後期中葉～晩期",NA
"縄文時代後期初頭～中葉",NA
"縄文時代早期後半～前期",NA
"古代初頭",NA
"～古墳時代初頭",NA
"古墳時代中期～古代初頭",NA
"縄文時代～弥生時代（Ⅳ期）",NA
"古墳時代～古代初頭",NA
"古代末期～中世初頭",NA
"古墳時代～古代",NA
"～室町時代",NA
"古墳時代～中世",NA
"～縄文時代中期",NA
"弥生時代前期以前",NA
"縄文時代後期～弥生時代中期",NA
"弥生時代前期後半～中期前葉",NA
"飛鳥時代～平安時代頃",NA
"古代・近代",NA
"弥生時代中期後半頃",NA
"中世末～近世初期",NA
"弥生時代中期後葉～後期前半",NA
"弥生時代中期中頃～後半",NA
"弥生時代前期末～古墳時代中期",NA
"古墳時代頃～鎌倉時代・室町時代",NA
"鎌倉時代末～室町時代初頭",NA
"～縄文時代前期",NA
"弥生時代後期後半代",NA
"古墳時代前期、中期中葉～後期",NA
"縄文時代後期中葉頃",NA
"縄文時代・弥生時代移行期",NA
"縄文時代早期後葉～中期後葉",NA
"縄文時代早期後葉～前期中葉",NA
"喜界アカホヤ火山灰（K-Ah）～縄文時代前期",NA
"縄文時代早期後葉～前期中葉頃",NA
"縄文時代後期初頭～弥生時代前期前半",NA
"縄文時代早期後葉～後期初頭頃",NA
"？～縄文時代前期中葉",NA
"縄文時代草創期後半頃",NA
"縄文時代晩期もしくは晩期末",NA
"飛鳥白鳳時代",NA
"縄文時代晩期末～弥生時代初頭",NA
"14世紀後半～15世紀初頭",NA
"古墳時代前期～？",NA
"12世紀後半～14世紀前半",NA
"奈良時代～平安時代前期",NA
"古墳時代後期末～飛鳥時代前期",NA
"弥生時代～古墳時代前期頃",NA
"縄文時代早期後葉～晩期",NA
"江戸時代後期～大正時代",NA
"奈良時代～平安時代",NA
"江戸時代・明治時代",NA
"弥生時代後期後半～古墳出現前夜頃",NA
"弥生時代中期末～後期初頭",NA
"弥生時代～近世",NA
"古墳時代～室町時代",NA
"～平安時代",NA
"弥生時代～奈良時代",NA
"縄文時代～近世",NA
"～弥生時代中期初頭",NA
"弥生時代前期末？",NA
"古墳・奈良時代",NA
"古代末～中世あるいは奈良時代～平安時代",NA
"縄文時代・弥生時代中期・古代（8世紀）・中世（13世紀）",NA
"～弥生時代中期後半",NA
"縄文時代もしくは弥生時代前期",NA
"～古代・中世",NA
"平安時代～鎌倉時代、あるいは16世紀後半、古墳時代",NA
"弥生時代末期",NA
"古墳時代中期末頃",NA
"弥生時代中期末頃",NA
"弥生時代中期後半～中世",NA
"古墳時代中期？",NA
"中世前期？",NA
"奈良時代～平安時代初頭",NA
"縄文時代～平安時代",NA
"縄文時代中期or縄文時代晩期終末",NA
"縄文時代終末",NA
"縄文時代前期末〜中期",NA
"縄文時代中世〜近世",NA
"奈良時代〜室町時代",NA
"中世前半期",NA
"古墳時代・中世",NA
"中世・近世",NA
"室町時代後期〜江戸時代初期",NA
"弥生時代中期後葉〜古墳時代後期",NA
"古墳時代･古代",NA
"弥生時代後期初頭〜前葉",NA
"弥生時代中期末葉",NA
"中世〜江戸",NA
"弥生時代後期〜古墳時代初頭頃",NA
"弥生時代･古墳時代･中世",NA
"弥生時代前期〜中期中頃",NA
"古墳時代後期〜終末期",NA
"古代､中世､近世",NA
"弥生時代･古墳時代･平安時代",NA
"弥生時代中期後半,古墳(6〜7世紀),奈良,平安時代後半",NA
"弥生時代･古墳時代",NA
"弥生時代中期中頃〜古墳時代後期",NA
"弥生時代終末〜古墳時代前期･近世",NA
"古墳時代初頭頃",NA
"古代以降(中世以降の可能性が高い)",NA
"縄文時代後期前半〜中期後半",NA
"〜古墳",NA
"弥生時代前期〜終末期",NA
"〜縄文時代晩期",NA
"弥生時代前期中葉",NA
"古墳時代終末期〜",NA
"弥生時代中期〜奈良時代前半",NA
"弥生時代後期後葉〜終末期",NA
"弥生時代後期中葉〜中世後期",NA
"古墳時代･中世〜近世",NA
"古代〜近世以降",NA
"古墳時代前期前葉〜中葉",NA
"弥生時代後期〜近現代",NA
"縄文時代〜近世以降",NA
"弥生時代終末期〜古墳時代前期前葉",NA
"弥生時代後期前葉頃",NA
"奈良時代後半〜室町時代",NA
"縄文時代〜近現代",NA
"弥生時代後期〜古墳時代前期前葉",NA
"縄文時代〜奈良時代､平安時代",NA
"〜弥生時代後期前葉頃",NA
"縄文時代〜中･近世",NA
"古代〜",NA
"弥生時代中期中葉以前",NA
"古墳時代中期〜古墳時代末期",NA
"古墳時代中期〜末期",NA
"〜平安時代",NA
"古代末〜鎌倉時代",NA
"古墳時代〜室町時代末期",NA
"古墳時代後期後半",NA
"弥生時代〜江戸",NA
"弥生時代前期以降",NA
"弥生時代〜古代･近世",NA
"奈良時代〜",NA
"古墳時代後期〜平安",NA
"弥生時代中期後葉〜古墳時代前期初頭",NA
"飛鳥時代〜鎌倉時代",NA
"古墳時代中期〜平安時代",NA
"縄文時代早期･弥生時代前期〜古墳時代中期･中世",NA
"縄文時代･弥生時代",NA
"縄文時代･弥生時代･古墳時代･古代･中世〜近世",NA
"弥生時代後期･古墳時代中期･奈良時代以降",NA
"奈良時代･平安時代･中世",NA
"古墳時代前期末〜中期",NA
"弥生時代後期末か古墳時代中期",NA
"縄文時代･弥生時代･古墳時代･江戸時代",NA
"縄文時代晩期か弥生時代",NA
"弥生時代中期〜古墳時代中期",NA
"江戸",NA
"弥生時代後期･古代",NA
"縄文時代･古墳時代･古代",NA
"旧石器時代･縄文時代･古墳時代･中世",NA
"縄文時代･弥生時代･中世以降",NA
"縄文時代･弥生時代･中世",NA
"平安時代･中世",NA
"弥生時代･古墳時代･飛鳥時代･奈良時代･平安時代･鎌倉時代･室町時代･江戸時代 ",NA
"縄文時代･弥生時代･古墳時代･奈良時代・平安時代･鎌倉時代〜江戸時代",NA
"縄文時代･弥生時代･古墳時代",NA
"奈良時代〜平安時代前半あるいは15世紀頃",NA
"弥生時代後期〜中近世",NA
"擦文",NA
"縄文時代後期末〜晩期",NA
"縄文時代後期･晩期･擦文時代･近世",NA
"江戸時代中期",NA
"古墳時代･奈良時代･平安時代･室町時代",NA
"古墳時代･奈良時代･平安時代",NA
"奈良時代〜平安時代?",NA
"平安時代末〜安土桃山時代",NA
"縄文時代〜江戸時代",NA
"弥生時代前期〜古墳時代",NA
"弥生時代中期後葉〜後期･奈良時代･近世",NA
"弥生時代中期末後葉",NA
"江戸〜明治初め",NA
"弥生時代前前期末〜中期初頭",NA
"弥生中期中葉",NA
"弥生中期前葉〜中葉",NA
"弥生前期頃",NA
"平安時代後期　",NA
"古墳時代前期後葉",NA
"古墳時代前期中葉以前",NA
"平安時代〜鎌倉時代･江戸時代",NA
"奈良(平安)時代〜鎌倉時代",NA
"縄文時代〜古墳時代･平安時代",NA
"縄文時代〜古墳時代･奈良時代･平安時代･鎌倉時代･室町時代",NA
"縄文時代〜古墳時代･奈良時代･中近世",NA
"縄文時代･弥生時代･古墳時代･奈良時代･平安時代･鎌倉時代",NA
"縄文時代以前･弥生時代後期〜古墳時代前期",NA
"弥生時代終末期後半",NA
"弥生時代後期後葉?",NA
"弥生時代中期〜終末期",NA
"弥生時代中期〜終末期･古墳時代〜中世･近代",NA
"弥生時代終末期後半以前",NA
"弥生時代後期中葉頃",NA
"縄文時代晩期〜弥生時代･古墳時代･奈良時代〜",NA
"縄文時代･弥生時代･古墳時代･古代･中世･近世",NA
"弥生時代後期後葉後半〜終末期前半",NA
"弥生時代終末期前半",NA
"弥生時代終末期後半〜古墳時代初頭",NA
"平安時代〜江戸時代",NA
"弥生時代･中世",NA
"縄文時代･弥生時代〜古墳時代･古代〜中近世",NA
"弥生時代前期?",NA
"弥生時代前期?〜中期(9層)",NA
"縄文時代･弥生時代･古代時代･中〜近世",NA
"縄文時代晩期中葉〜弥生時代前期",NA
"縄文時代後晩期･弥生･古墳時代前期",NA
"弥生時代中期〜中世",NA
"縄文時代後期中葉?",NA
"弥生時代中期末〜古墳時代",NA
"弥生時代前期〜中期以前",NA
"弥生時代後期後半〜古墳時代前期前半",NA
"弥生時代後期･古墳時代前期･奈良時代･平安時代･中世",NA
"弥生時代･古墳時代･古代･中〜近世",NA
"中世前半頃",NA
"古墳時代前期後葉〜中期前葉",NA
"弥生時代･古墳時代･奈良時代・平安時代",NA
"縄文時代･弥生時代後期･古墳時代初期･古墳時代中期",NA
"弥生時代中期後半･平安時代･鎌倉時代",NA
"古代･中〜近世",NA
"奈良時代〜近世",NA
"弥生時代末〜古墳時代初頭･奈良時代・平安時代以降",NA
"弥生時代後期末〜古墳時代前期初頭",NA
"弥生時代後期前葉〜中葉",NA
"弥生時代終末〜古墳時代前期初頭",NA
"古墳時代後期初頭",NA
"弥生時代･古墳時代･中近世",NA
"縄文時代･弥生時代･平安時代",NA
"古墳時代後期末",NA
"弥生時代終末〜古墳時代初期",NA
"古墳時代中期末葉",NA
"縄文時代後期〜律令期",NA
"縄文時代晩期〜弥生時代中期後葉",NA
"弥生時代中期後葉〜古墳時代",NA
"弥生時代終末期後葉",NA
"弥生時代終末期〜古墳時代前期初頭",NA
"弥生時代中期後葉〜後期前葉",NA
"弥生時代後期〜終末期初頭",NA
"縄文時代後晩期以前",NA
"縄文時代･弥生時代･古墳時代･近世以降",NA
"縄文時代･弥生時代･古墳時代･古代",NA
"縄文･弥生･古墳･古代",NA
"弥生時代･古代･中世〜近世",NA
"弥生時代･古墳時代･奈良時代",NA
"縄文時代後期初頭〜前葉頃",NA
"縄文時代後晩期〜中世",NA
"古墳時代後期以前",NA
"弥生時代中期後葉以降〜終末期",NA
"弥生時代前期末〜古代",NA
"旧石器時代･縄文時代･弥生時代",NA
"旧石器時代〜弥生時代･古墳時代〜古代･中世･近世",NA
"古墳時代〜平安時代初期",NA
"古墳時代〜奈良時代･平安時代",NA
"縄文時代･弥生時代･奈良時代・平安時代",NA
"縄文時代?弥生時代?",NA
"縄文時代･弥生時代･古墳時代･中世･近世",NA
"白凰時代･奈良時代･平安時代･中世後半期･近世初頭",NA
"弥生時代･中世後半期･近世初頭",NA
"〜中世",NA
"弥生時代後期末･飛鳥時代(7世紀後半)〜平安時代初期",NA
"奈良時代後半〜平安時代初期",NA
"古墳時代中期〜後期初頭",NA
"古墳時代末〜奈良時代",NA
"古墳時代から奈良時代",NA
"縄文時代〜奈良時代･中世",NA
"縄文･弥生･古墳･古代･中近世",NA
"古墳〜古代",NA
"弥生時代前期前半",NA
"弥生時代前期新段階",NA
"弥生時代後期後半以前",NA
"飛鳥時代･奈良時代･鎌倉時代",NA
"弥生時代前期中葉前半",NA
"古墳時代前〜後期",NA
"縄文時代後期中頃〜後半",NA
"縄文時代早期〜晩期",NA
"古墳時代後期前半",NA
"平安時代後半〜鎌倉時代初頭",NA
"縄文〜弥生時代早期",NA
"貝塚時代前期(縄文時代後期併行期)〜後期後半",NA
"貝塚時代前期〜後期",NA
"貝塚時代後期(高宮暫定編年後期)",NA
"貝塚時代前期〜後期(高宮暫定編年前Ⅳ期〜高宮暫定編年後期)",NA
"貝塚時代前期",NA
"琉球王朝",NA
"グスク時代〜琉球王朝",NA
"貝塚時代前期〜後期前半",NA
"貝塚時代後期前半",NA
"グスク時代〜琉球王朝以降",NA
"琉球王朝以降",NA
"旧石器時代･貝塚時代前期〜グスク時代",NA
"旧石器時代〜貝塚時代前期",NA
"貝塚時代後期後半〜グスク",NA
"貝塚時代前期〜グスク時代",NA
"貝塚時代後期前半以降",NA
"貝塚時代後期後半",NA
"グスク〜近世",NA
"グスク時代",NA
"グスク〜近世初期",NA
"貝塚時代前期？",NA
"縄文時代〜グスク時代･近世･近代",NA
"旧石器時代･貝塚時代前期〜琉球王朝",NA
"貝塚時代後期前半〜後半",NA
"グスク･近世･近代",NA
"グスク〜近代",NA
"先史時代･グスク時代･近世〜近代",NA
"先史時代･グスク時代･近世",NA
"先史時代･近世〜近代",NA
"貝塚時代前期･近世〜近代",NA
"近世初期〜",NA
"近世初期以前",NA
"貝塚時代前期･グスク〜近世･近代",NA
"グスク時代以降",NA
"貝塚時代前期･貝塚時代後期前半･グスク･琉球王朝",NA
"貝塚時代前期〜後期後半",NA
"旧石器時代･貝塚時代前期〜後期後半･グスク時代",NA
"貝塚時代前期〜グスク時代?",NA
"貝塚時代･グスク時代･近世･近代",NA
"貝塚時代前期･貝塚時代後期前半･貝塚時代後期後半･グスク時代･近世・近代",NA
"グスク時代･近世〜近代",NA
"貝塚時代中期･グスク時代〜近世",NA
"グスク時代以前",NA
"貝塚時代中期･グスク時代･古琉球〜近世",NA
"貝塚時代後期前半･貝塚時代後期後半",NA
"貝塚時代後期･近世･近現代",NA
"貝塚時代前期･貝塚時代後期前半･貝塚時代後期後半･グスク時代･近世･近代",NA
"貝塚時代後期前半･貝塚時代後期後半･グスク･近代･現代",NA
"貝塚時代後期前半･貝塚時代後期後半〜近代(戦前)",NA
"貝塚時代後期前半･貝塚時代後期後半･グスク時代",NA
"貝塚時代前期･近世･近代",NA
"貝塚時代前期〜後期･グスク時代",NA
"グスク時代･近･現代",NA
"グスク時代･近代･現代",NA
"無土器期(貝塚時代前期〜グスク時代)",NA
"貝塚時代前期･近世",NA
"琉球王朝･近世",NA
"グスク時代〜近世･近代",NA
"縄文時代･平安時代",NA
"縄文時代早期末葉〜前期前葉",NA
"縄文時代後期〜弥生",NA
"縄文時代前期前葉〜中期末葉",NA
"縄文時代後期中葉〜末葉",NA
"新石器時代〜現代(完新世)",NA
"縄文時代晩期前半〜中葉",NA
"縄文時代後･晩期",NA
"縄文時代後期後半〜晩期中葉",NA
"縄文時代後期後半〜晩期前半",NA
"縄文時代中期〜後期初頭",NA
"縄文時代草創期〜前期",NA
"縄文時代草創期〜中期",NA
"縄文時代晩期後半･弥生時代早期",NA
"後期旧石器時代・縄文時代",NA
"旧石器〜縄文",NA
"縄文時代早期前葉〜後葉",NA
"縄紋時代早期",NA
